16.05 cuaca daerah kebon kopi terpantau hujan AT_USER AT_USER AT_USER URL,lalin
17.25 jl ibrahim adjie arah soekarno-hatta macet sabar taruwit URL,lalin
18.11 AT_USER arus lintas daerah surapati core terpantau padat merayap URL,lalin
dri perempatan gatsu pt pindad rs pindad macet bberapa mobil parkir mengambil ba… URL,lalin
16.25 daerah soetta-kiaracondong terpantau padat diberlakukan rekayasa AT_USER URL,lalin
AT_USER 17.18 AT_USER jalan soekarno hatta arah samsat kiaracondong lumayan lancar cuaca gerimis URL,lalin
16.17 AT_USER antrian gatsu arah tsm langit semi mendung URL,notlalin
16.24 arus lalin daerah moh toha bkr terpantau ramai lancar cuaca gerimis AT_USER URL,lalin
infobdg 16.11 arus lalin daerah antapani terpantau padat bandungcc2016 URL,lalin
16.12 arus lalin daerah setiabudi terpantau lancar AT_USER URL,lalin
20.07 AT_USER arus lintas daerah jalan soekarno hatta-kiaracondong terpantau padat URL,lalin
16.11 arus lalin daerah setiabudi terpantau lancar AT_USER AT_USER AT_USER URL,lalin
15.39 buah batu arah soekarno-hatta padat ramai lancar URL,lalin
14.31 AT_USER arus lalin suniaraja pasar abc terpantau padat turun hujan URL,lalin
14.34 lalin daerah suniaraja pasar abc terpantau padat turun hujan AT_USER URL,lalin
16.17 AT_USER arus lalin daerah soetta-kiaracondong terpantau padat URL,lalin
AT_USER 16.44 flyover kiara condong arah binong macet parah byk kendaraan putar hati-hati taruwit URL,lalin
AT_USER 16.26 lalin daerah ps kordon terpantau sendatan bundaran AT_USER URL,lalin
AT_USER 13.04 per4 buah batu pass tersendat mohon bantuan nya cc AT_USER AT_USER URL,lalin
17.14 AT_USER pelanggaran massal diklaksonin galakan lokasi rel ka kosambi URL,notlalin
sore pk.16.50 antrian kendaraan sdh mengular hasan saputra amp karawitan martanegara padat cuaca gerimis AT_USER,lalin
AT_USER 17.25 jl ibrahim adjie arah soekarno-hatta macet sabar taruwit URL,lalin
16.25 AT_USER arus lalin daerah pasar kordon terpantau sendatan bundaran URL,lalin
13.04 per4 buah batu pass tersendat mohon bantuan nya cc AT_USER AT_USER URL,lalin
AT_USER 16.25 daerah soetta-kiaracondong terpantau padat diberlakukan rekayasa AT_USER URL,lalin
20.54 AT_USER kendala kepadatan bypass buah batu kiaracondong truk double engkel mogok kanan jalan,lalin
autocpy3 infobdg 16.11 arus lalin daerah simpang dago terpantau padat arah dago ban… URL,lalin
17.03 kiaracondong traffic light binong macet URL,lalin
16.15 AT_USER arus lalin daerah suniaraja terpantau macet URL,lalin
AT_USER 16.19 AT_USER arus lalin daerah moh toha bkr terpantau ramai lancar cuaca gerimis URL,lalin
antrian gatsu arah tsm langit semi mendung AT_USER AT_USER AT_USER URL,lalin
infobdg 16.11 arus lalin daerah simpang dago terpantau padat arah dago bandungcc2016 URL,lalin
AT_USER 17.03 kiaracondong traffic light binong macet URL,lalin
13.07 arus lalin daerah cimindi kebon kopi terpantau lancar AT_USER URL,lalin
16.11 AT_USER arus lalin daerah setiabudi terpantau lancar URL,lalin
20.09 AT_USER arus lintas daerah jalan soekarno hatta-kiaracondong terpantau padat URL,lalin
15.07 arus lalin daerah cimindi terpantau padat bandung AT_USER AT_USER AT_USER URL,lalin
15:04 AT_USER rancaekek arah bandung gerimis lalin padat belok jalan tol,lalin
AT_USER AT_USER AT_USER rancaekek arah bandung gerimis lalin padat belok jalan tol,lalin
15.09 arus lalin daerah kebon kopi terpantau padat AT_USER AT_USER AT_USER URL,lalin
20.34 arus lalin daerah soetta-kiaracondong terpantau padat AT_USER URL,lalin
infobdg 13.07 arus lalin daerah cimindi kebon kopi terpantau lancar bandungcc2016 URL,lalin
AT_USER 11.37 macet tol purbaleunyi arh bdg dr 117. kayany bgt tp gatau AT_USER URL,lalin
18.10 arus lalin daerah surapati core terpantau padat merayap AT_USER URL,lalin
18.07 arus lalin daerah surapati core terpantau padat merayap AT_USER AT_USER AT_USER URL,lalin
17.34 AT_USER pintu toll pasirkoja lancar pintu tol antrian URL,lalin
AT_USER 16.03 arus lalin daerah antapani terpantau padat soekarno hatta AT_USER AT_USER AT_USER h…,lalin
16.15 surapati arah caheum macet jalan gagak cuaca mendung hujan AT_USER cuacabdg,lalin
16.11 arus lalin daerah antapani terpantau padat AT_USER URL,lalin
17.17 AT_USER pelebaran trotoar jalan jenderal sudirman sumber kemacetan,lalin
16.04 arus lalin daerah simpang dago terpantau padat arah dago AT_USER AT_USER AT_USER URL,lalin
AT_USER 15.39 buah batu arah soekarno-hatta padat ramai lancar URL,lalin
14.31 arus lalin daerah suniaraja pasar abc terpantau padat turun hujan AT_USER AT_USER URL,lalin
17.32 anto pintu toll pasirkoja lancar pintu tol antrian URL,lalin
infobdg 16.12 arus lalin daerah setiabudi terpantau lancar bandungcc2016 URL,lalin
infobdg 13.04 per4 buah batu pass tersendat mohon bantuan nya cc tmc_restabesbdg dhika_cepot URL,lalin
infobdg 13.03 arus lalin ujung berung cicabe surapati core amp per4an katamso terpantau lancar bandun… URL,lalin
16.26 lalin daerah ps kordon terpantau sendatan bundaran AT_USER URL,lalin
16.19 AT_USER arus lalin daerah moh toha bkr terpantau ramai lancar cuaca gerimis URL,lalin
16.11 arus lalin daerah simpang dago terpantau padat arah dago AT_USER URL,lalin
AT_USER 14.23 terpantau genangan pasar kordon surapati core AT_USER URL,notlalin
AT_USER 13.07 arus lalin daerah cimindi kebon kopi terpantau lancar AT_USER URL,lalin
autocpy3 infobdg 16.12 arus lalin daerah setiabudi terpantau lancar bandungcc2016 URL,lalin
AT_USER 17.14 AT_USER pelanggaran massal diklaksonin galakan lokasi rel ka kosambi URL,lalin
16.09 AT_USER setiabudi arah ledeng macet merayap.. URL,lalin
17.24 AT_USER mtc arah samsat kiaracondong lancar cuaca mendung gerimis tipis URL,lalin
16.25 arus lalin daerah ps kordon terpantau sendatan bundaran AT_USER AT_USER AT_USER URL,lalin
16.44 flyover kiara condong arah binong macet parah byk kendaraan putar hati-hati taruwit URL,lalin
voustarls autocpy3 infobdg 16.11 arus lalin daerah simpang dago terpantau padat arah dago… URL,lalin
16.03 arus lalin daerah antapani terpantau padat soekarno hatta AT_USER AT_USER AT_USER URL,lalin
17.18 AT_USER jalan soekarno hatta arah samsat kiaracondong lumayan lancar cuaca gerimis URL,lalin
AT_USER 16.25 AT_USER arus lalin daerah pasar kordon terpantau sendatan bundaran URL,lalin
AT_USER 17.14 AT_USER pelanggaran massal diklaksonin galakan lokasi rel ka kosambi URL,notlalin
AT_USER 20.34 arus lalin daerah soetta-kiaracondong terpantau padat AT_USER URL,lalin
AT_USER 14.23 terpantau genangan pasar kordon surapati core AT_USER URL,lalin
autocpy3 infobdg 16.11 arus lalin daerah antapani terpantau padat bandungcc2016 URL,lalin
aduh leres pisan kedah hati-hati pisan URL,lalin
antapani hujan sertai angin.. hati2 pengendara motor mobil takut pohon tumbang AT_USER cuacabdg URL,notlalin
voustarls autocpy3 infobdg 16.11 arus lalin daerah antapani terpantau padat bandungcc2016 URL,lalin
17.34 prfmnews pintu toll pasirkoja lancar pintu tol antrian URL,lalin
AT_USER dri perempatan gatsu pt pindad rs pindad macet bberapa mobil parkir mengambil j…,lalin
AT_USER 14.34 lalin daerah suniaraja pasar abc terpantau padat turun hujan AT_USER URL,lalin
14.23 terpantau genangan pasar kordon surapati core AT_USER URL,notlalin
17.36 AT_USER jl.ir.h.djuanda bca macet cuaca bersahabat hati2 pekerjaan trotoar URL,lalin
voustarls autocpy3 infobdg 16.12 arus lalin daerah setiabudi terpantau lancar bandungcc2016 URL,lalin
