"RT @PRFMnews: 19.03: RT @FadiyahMaghfira: Lampu merah perempatan Gedebage mati, lalu lintas jadi semrawut. #lalinBDG  Cc @dishub_kotabdg",lalin
RT @PRFMnews: 21.11: RT @BandungCC2016: Arus lalu lintas daerah Surapati Core terpantau masih padat. #lalinBDG https://t.co/uquCHyBL0I,lalin
21.11: RT @BandungCC2016: Arus lalu lintas daerah Surapati Core terpantau masih padat. #lalinBDG https://t.co/uquCHyBL0I,lalin
20.50: Depan RS Advent arah Cihampelas Walk lalu lintas tidak bergerak. (P. Opik). #lalinBDG https://t.co/X4wWQITJ2B,lalin
"@PRFMnews lalin katapang,soreang lancar jaya. Cuaca cerah #lalinBDG https://t.co/hjR0PS9Vqb",lalin
"@PRFMnews lalin katapang,soreang lancar jaya. Cuaca cerah #lalinBDG https://t.co/ADNm2xcRgk",lalin
"19.03: RT @FadiyahMaghfira: Lampu merah perempatan Gedebage mati, lalu lintas jadi semrawut. #lalinBDG  Cc @dishub_kotabdg",lalin
RT @PRFMnews: 17.27: RT @Widaning: Jalan Ibrahim Adjie dari Binong sampai Samsat Kiaracondong lancar jaya. #lalinBDG,lalin
18.55: RT @BandungCC2016: Arus lalu lintas daerah perempatan Jalan Jakarta terpantau ramai lancar. #lalinBDG https://t.co/QELSEPd4H8,lalin
RT @PRFMnews: 16.29: RT @ppkadaop2bd: Jalan Abdurahman Saleh di perlintasan Andir mulai padat. relawan masih mengatur.  #lalinBDG https://t…,lalin
18.50: RT @BandungCC2016: Arus lalin daerah Simpang Dago terpantau padat ke arah bawah. Arah atas lancar. #lalinBDG https://t.co/nVnJO5KOro,lalin
"18.44: RT @ErwinGoh1: Daerah BTC menuju Tol Pasteur lumayan padat merayap, weekend. Hati-hati. #lalinBDG https://t.co/HGqBy9ove5",lalin
"#lalinBDG 18.36 daerah btc menuju tol Pasteur lumayan padat merayap , weekend. Hati hati guys @infobdg @PRFMnews https://t.co/pKF1RYPJr9",lalin
"18.21: RT @dacil123: Lalu lintas Jalan Pasteur macet, mulai dari jembatan Pasupati. #lalinBDG https://t.co/H2KmG8FGQu",lalin
"18.09: RT @wds_16: Jalan PHH Mustofa kedua arah lancar walaupun agak tersendat, cuaca cerah. #lalinBDG https://t.co/m3FGDfg0sm",lalin
17.56: RT @ariefrerefauzha: Antara  lampu merah Jalan Laswi dan Jalan Sukabumi lalu lintas diam. #lalinBDG https://t.co/5bub5M3QEp,lalin
